JobCodeNumber,JobCount,MinimumAge,MaximumAge,Female,Male,Total,SumMale,SumFemale
622,27581,17,83,1032,26549,27581,,
493,26660,17,85,1668,24992,26660,,
23,25252,18,85,436,24816,25252,,
4,24642,16,84,2595,22047,24642,,
741,23860,16,75,934,22926,23860,,
581,22711,17,87,1021,21690,22711,,
233,21635,17,81,1079,20556,21635,,
564,20182,16,78,921,19261,20182,,
720,19372,16,75,437,18935,19372,,
531,18088,17,78,737,17351,18088,,
612,17542,17,83,1181,16361,17542,,
589,15476,17,75,507,14969,15476,,
25,14944,17,85,986,13958,14944,,
251,14080,16,73,1025,13055,14080,,
1011,13309,17,82,619,12690,13309,,
898,12479,16,81,410,12069,12479,,
249,12093,17,80,708,11385,12093,,
850,10416,16,83,1280,9136,10416,,
558,9202,17,84,1047,8155,9202,,
352,8842,19,75,1299,7543,8842,,
998,8421,16,81,861,7560,8421,,
259,8290,18,79,307,7983,8290,,
1008,7779,16,86,956,6823,7779,,
504,7336,16,77,915,6421,7336,,
480,7312,18,73,642,6670,7312,,
668,7223,17,78,588,6635,7223,,
577,7035,17,78,762,6273,7035,,
727,6342,17,78,469,5873,6342,,
787,6005,19,82,341,5664,6005,,
329,5994,17,81,1385,4609,5994,,
934,5936,19,81,254,5682,5936,,
809,5874,17,84,121,5753,5874,,
430,5850,17,76,485,5365,5850,,
728,5699,17,76,187,5512,5699,,
388,5451,19,73,158,5293,5451,,
682,5155,18,81,37,5118,5155,,
721,5066,17,70,167,4899,5066,,
541,4859,16,79,349,4510,4859,,
891,4767,19,78,270,4497,4767,,
795,4397,17,72,114,4283,4397,,
315,4319,17,80,327,3992,4319,,
232,4281,18,75,303,3978,4281,,
258,4182,17,75,291,3891,4182,,
619,3815,18,68,537,3278,3815,,
611,3799,18,66,695,3104,3799,,
884,3581,20,77,318,3263,3581,,
256,3564,17,75,253,3311,3564,,
500,3554,18,81,159,3395,3554,,
754,3535,19,76,90,3445,3535,,
583,3503,18,70,250,3253,3503,,
991,3499,17,78,430,3069,3499,,
935,3434,19,76,139,3295,3434,,
7,3373,17,71,540,2833,3373,,
414,3351,21,76,631,2720,3351,,
507,3350,17,77,1136,2214,3350,,
396,3169,21,73,212,2957,3169,,
491,3101,17,74,433,2668,3101,,
495,3044,18,72,76,2968,3044,,
661,3014,19,79,30,2984,3014,,
636,3001,16,73,373,2628,3001,,
27,2849,19,72,138,2711,2849,,
241,2576,18,71,81,2495,2576,,
715,2534,17,76,280,2254,2534,,
828,2418,18,82,526,1892,2418,,
997,2248,17,74,126,2122,2248,,
836,2237,18,72,97,2140,2237,,
864,2207,18,76,148,2059,2207,,
812,2183,17,83,9,2174,2183,,
745,2142,17,70,47,2095,2142,,
747,2101,18,71,94,2007,2101,,
764,2027,18,74,84,1943,2027,,
788,1982,16,83,282,1700,1982,,
533,1950,18,69,50,1900,1950,,
827,1946,18,74,188,1758,1946,,
849,1936,17,73,472,1464,1936,,
562,1929,18,67,286,1643,1929,,
520,1923,18,70,86,1837,1923,,
525,1884,17,68,196,1688,1884,,
988,1844,17,74,160,1684,1844,,
482,1833,17,67,129,1704,1833,,
401,1786,23,82,139,1647,1786,,
659,1766,20,81,130,1636,1766,,
14,1677,20,73,282,1395,1677,,
437,1644,16,75,404,1240,1644,,
931,1611,19,78,11,1600,1611,,
262,1579,20,73,175,1404,1579,,
883,1575,17,81,102,1473,1575,,
295,1539,17,82,87,1452,1539,,
969,1520,18,72,30,1490,1520,,
350,1512,22,76,255,1257,1512,,
550,1490,18,66,275,1215,1490,,
485,1483,18,76,71,1412,1483,,
565,1482,17,70,157,1325,1482,,
853,1439,17,73,248,1191,1439,,
894,1429,17,76,79,1350,1429,,
