JobCodeNumber,JobCount,MinimumAge,MaximumAge,Female,Male,Total,SumMale,SumFemale
1,119,17,74,13,106,119,676197,58130
2,6,22,52,0,6,6,,
3,2,18,20,0,2,2,,
4,24642,16,84,2595,22047,24642,,
5,1329,16,81,172,1157,1329,,
6,840,17,76,102,738,840,,
7,3373,17,71,540,2833,3373,,
8,884,17,75,98,786,884,,
9,614,17,72,76,538,614,,
10,287,17,78,28,259,287,,
11,459,19,72,76,383,459,,
12,60,19,69,7,53,60,,
13,53,20,67,3,50,53,,
14,1677,20,73,282,1395,1677,,
15,262,18,65,50,212,262,,
16,95,23,67,14,81,95,,
17,92,26,75,9,83,92,,
18,111,18,63,22,89,111,,
19,8,25,54,1,7,8,,
20,4,23,39,1,3,4,,
21,46,22,71,1,45,46,,
22,728,18,74,113,615,728,,
23,25252,18,85,436,24816,25252,,
24,152,21,64,5,147,152,,
25,14944,17,85,986,13958,14944,,
26,60,22,60,2,58,60,,
27,2849,19,72,138,2711,2849,,
28,194,20,68,39,155,194,,
29,6,41,55,0,6,6,,
30,14,22,63,1,13,14,,
31,2,17,17,0,2,2,,
32,78,21,62,11,67,78,,
33,106,18,74,24,82,106,,
34,2,32,36,0,2,2,,
35,2,36,44,1,1,2,,
36,251,17,67,36,215,251,,
37,12,18,56,3,9,12,,
38,12,25,56,5,7,12,,
39,14,23,55,4,10,14,,
40,44,22,65,2,42,44,,
41,2,53,53,0,2,2,,
42,4,18,41,1,3,4,,
43,53,21,65,14,39,53,,
44,7,29,61,1,6,7,,
45,20,23,54,2,18,20,,
46,39,21,64,2,37,39,,
47,146,21,62,32,114,146,,
48,5,29,38,0,5,5,,
49,9,29,53,1,8,9,,
50,6,40,52,1,5,6,,
51,13,27,58,6,7,13,,
52,2,44,45,0,2,2,,
53,96,23,74,21,75,96,,
54,42,30,64,2,40,42,,
55,27,21,60,10,17,27,,
56,136,23,67,42,94,136,,
57,24,19,50,7,17,24,,
58,5,42,57,0,5,5,,
59,56,17,67,45,11,56,,
60,7,26,54,3,4,7,,
61,13,32,66,2,11,13,,
62,182,19,67,73,109,182,,
63,1022,16,66,595,427,1022,,
64,97,26,62,21,76,97,,
65,37,31,64,10,27,37,,
66,14,20,51,1,13,14,,
67,176,18,69,59,117,176,,
68,37,22,66,26,11,37,,
69,42,25,55,2,40,42,,
70,4,26,51,1,3,4,,
71,27,23,62,0,27,27,,
72,10,26,59,0,10,10,,
73,6,30,66,1,5,6,,
74,17,25,60,1,16,17,,
75,21,21,60,9,12,21,,
76,16,23,45,1,15,16,,
77,16,19,63,4,12,16,,
78,12,22,54,0,12,12,,
79,9,20,47,2,7,9,,
80,18,43,63,1,17,18,,
81,21,24,60,2,19,21,,
82,22,50,65,0,22,22,,
83,62,25,72,6,56,62,,
84,7,26,42,0,7,7,,
85,5,29,60,1,4,5,,
86,4,59,61,0,4,4,,
87,847,18,75,108,739,847,,
88,22,23,60,2,20,22,,
89,531,17,70,209,322,531,,
90,18,19,63,5,13,18,,
91,272,18,66,88,184,272,,
92,36,24,71,1,35,36,,
93,139,17,61,22,117,139,,
94,25,21,65,2,23,25,,
95,177,21,63,159,18,177,,
96,18,18,56,1,17,18,,
97,133,18,73,91,42,133,,
98,126,16,65,61,65,126,,
99,121,22,73,21,100,121,,
100,567,21,76,74,493,567,,
101,87,19,62,47,40,87,,
102,297,20,75,23,274,297,,
103,124,25,74,45,79,124,,
104,64,22,70,14,50,64,,
105,780,21,67,168,612,780,,
106,102,25,70,50,52,102,,
107,119,20,67,32,87,119,,
108,934,20,75,158,776,934,,
109,224,21,73,29,195,224,,
110,20,23,57,1,19,20,,
111,18,27,65,6,12,18,,
112,3,42,51,0,3,3,,
113,75,17,65,18,57,75,,
114,90,16,61,20,70,90,,
115,18,34,49,0,18,18,,
116,7,23,43,0,7,7,,
117,2,30,31,0,2,2,,
118,4,31,45,0,4,4,,
119,13,19,62,5,8,13,,
120,3,23,30,0,3,3,,
121,14,32,40,12,2,14,,
122,13,18,61,7,6,13,,
123,21,25,58,4,17,21,,
124,23,24,61,2,21,23,,
125,102,28,64,2,100,102,,
126,100,24,62,34,66,100,,
127,85,23,67,3,82,85,,
128,2,51,59,1,1,2,,
129,59,18,61,32,27,59,,
130,151,20,67,30,121,151,,
131,22,34,55,2,20,22,,
132,54,18,62,18,36,54,,
133,4,33,52,2,2,4,,
134,5,36,41,0,5,5,,
135,31,25,48,13,18,31,,
136,31,23,64,4,27,31,,
137,40,24,68,6,34,40,,
138,3,27,50,0,3,3,,
139,2,26,55,0,2,2,,
140,8,20,63,2,6,8,,
141,10,40,62,0,10,10,,
142,2,47,47,0,2,2,,
143,5,54,56,0,5,5,,
144,19,33,56,3,16,19,,
145,13,20,58,2,11,13,,
146,6,28,53,0,6,6,,
147,24,26,66,2,22,24,,
148,6,33,60,0,6,6,,
149,49,23,66,1,48,49,,
150,14,32,55,0,14,14,,
151,27,19,56,0,27,27,,
152,3,40,47,0,3,3,,
153,5,38,49,0,5,5,,
154,2,51,59,0,2,2,,
155,2,24,30,0,2,2,,
156,7,27,46,4,3,7,,
157,10,36,54,1,9,10,,
158,5,53,57,0,5,5,,
159,2,33,33,1,1,2,,
160,132,21,73,40,92,132,,
161,59,23,83,13,46,59,,
162,37,30,65,15,22,37,,
163,107,18,66,35,72,107,,
164,12,24,60,2,10,12,,
165,19,32,57,0,19,19,,
166,71,17,68,23,48,71,,
167,12,33,54,0,12,12,,
168,70,19,65,29,41,70,,
169,42,17,65,4,38,42,,
170,15,23,63,6,9,15,,
171,6,25,49,0,6,6,,
172,3,27,29,0,3,3,,
173,104,21,73,52,52,104,,
174,23,42,64,3,20,23,,
175,26,40,62,1,25,26,,
176,9,31,73,0,9,9,,
177,6,34,55,1,5,6,,
178,6,23,59,0,6,6,,
179,163,19,63,19,144,163,,
180,196,25,79,81,115,196,,
181,49,19,65,20,29,49,,
182,1217,20,70,946,271,1217,,
183,3,22,24,0,3,3,,
184,194,20,70,160,34,194,,
